MISSION_NAME,LAUNCH_DATE,LAUNCH_SITE,SUCCESS,AGENCY,MISSION_TYPE
Telstar 19V,2018-07-22,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 7,2018-07-25,Starbase Boca Chica,True,SpaceX,N/A
Merah Putih,2018-08-07,Vandenberg SLC-4E,True,SpaceX,N/A
Telstar 18V,2018-09-10,Vandenberg SLC-4E,True,SpaceX,N/A
SAOCOM 1A,2018-10-08,Starbase Boca Chica,True,SpaceX,N/A
Es’hail 2,2018-11-15,Unknown,True,SpaceX,N/A
SSO-A,2018-12-03,Starbase Boca Chica,True,SpaceX,N/A
CRS-16,2018-12-05,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV01,2018-12-23,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 8,2019-01-11,Starbase Boca Chica,True,SpaceX,N/A
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22,Vandenberg SLC-4E,True,SpaceX,N/A
CCtCap Demo Mission 1,2019-03-02,Unknown,True,SpaceX,N/A
ArabSat 6A,2019-04-11,Unknown,True,SpaceX,N/A
CRS-17,2019-05-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink v0.9,2019-05-24,Vandenberg SLC-4E,True,SpaceX,N/A
RADARSAT Constellation,2019-06-12,Starbase Boca Chica,True,SpaceX,N/A
STP-2,2019-06-25,Unknown,True,SpaceX,N/A
CRS-18,2019-07-25,Vandenberg SLC-4E,True,SpaceX,N/A
Amos-17,2019-08-06,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-1,2019-11-11,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-19,2019-12-05,Vandenberg SLC-4E,True,SpaceX,N/A
JCSat 18 / Kacific 1,2019-12-17,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-2,2020-01-07,Vandenberg SLC-4E,True,SpaceX,N/A
Crew Dragon In Flight Abort Test,2020-01-19,Unknown,True,SpaceX,N/A
Starlink-3,2020-01-29,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-4,2020-02-17,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-20,2020-03-07,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-5,2020-03-18,Unknown,True,SpaceX,N/A
Starlink-6,2020-04-22,Unknown,True,SpaceX,N/A
CCtCap Demo Mission 2,2020-05-30,Unknown,True,SpaceX,N/A
Starlink-7,2020-06-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-8 & SkySat 16-18,2020-06-13,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV03 (Columbus),2020-06-30,Vandenberg SLC-4E,True,SpaceX,N/A
ANASIS-II,2020-07-20,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07,Unknown,True,SpaceX,N/A
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18,Vandenberg SLC-4E,True,SpaceX,N/A
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-11 (v1.0),2020-09-03,Unknown,True,SpaceX,N/A
Starlink-12 (v1.0),2020-10-06,Unknown,True,SpaceX,N/A
Starlink-13 (v1.0),2020-10-18,Unknown,True,SpaceX,N/A
Starlink-14 (v1.0),2020-10-24,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV04 (Sacagawea),2020-11-05,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-1,2020-11-16,Unknown,True,SpaceX,N/A
Sentinel-6 Michael Freilich,2020-11-21,Starbase Boca Chica,True,SpaceX,N/A
Starlink-15 (v1.0),2020-11-25,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-21,2020-12-06,Unknown,True,SpaceX,N/A
SXM-7,2020-12-13,Vandenberg SLC-4E,True,SpaceX,N/A
NROL-108,2020-12-19,Unknown,True,SpaceX,N/A
Turksat 5A,2021-01-08,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-16 (v1.0),2021-01-20,Unknown,True,SpaceX,N/A
Transporter-1,2021-01-24,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-18 (v1.0),2021-02-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-19 (v1.0),2021-02-16,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-17 (v1.0),2021-03-04,Unknown,True,SpaceX,N/A
Starlink-20 (v1.0),2021-03-11,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-21 (v1.0),2021-03-14,Unknown,True,SpaceX,N/A
Starlink-22 (v1.0),2021-03-24,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-23 (v1.0),2021-04-07,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-2,2021-04-23,Unknown,True,SpaceX,N/A
Starlink-24 (v1.0),2021-04-29,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-25 (v1.0),2021-05-04,Unknown,True,SpaceX,N/A
Starlink-27 (v1.0),2021-05-09,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15,Unknown,True,SpaceX,N/A
Starlink-28 (v1.0),2021-05-26,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-22 & IROSA,2021-06-03,Unknown,True,SpaceX,N/A
SXM-8,2021-06-06,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV05,2021-06-17,Vandenberg SLC-4E,True,SpaceX,N/A
Transporter-2,2021-06-30,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-23,2021-08-29,Unknown,True,SpaceX,N/A
Starlink 2-1 (v1.5),2021-09-14,Starbase Boca Chica,True,SpaceX,N/A
Inspiration4,2021-09-16,Unknown,True,SpaceX,N/A
Crew-3,2021-11-11,Unknown,True,SpaceX,N/A
Starlink 4-1 (v1.5),2021-11-13,Vandenberg SLC-4E,True,SpaceX,N/A
DART,2021-11-24,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-3 (v1.5),2021-12-01,Vandenberg SLC-4E,True,SpaceX,N/A
IXPE,2021-12-09,Unknown,True,SpaceX,N/A
Starlink 4-4 (v1.5),2021-12-18,Starbase Boca Chica,True,SpaceX,N/A
Türksat 5B,2021-12-19,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-24,2021-12-21,Unknown,True,SpaceX,N/A
Starlink 4-5 (v1.5),2022-01-06,Unknown,True,SpaceX,N/A
Transporter-3,2022-01-13,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-6 (v1.5),2022-01-19,Unknown,True,SpaceX,N/A
CSG-2,2022-01-31,Vandenberg SLC-4E,True,SpaceX,N/A
NROL-87,2022-02-02,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-7 (v1.5),2022-02-03,Unknown,True,SpaceX,N/A
Starlink 4-8 (v1.5),2022-02-21,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-11 (v1.5),2022-02-25,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-9 (v1.5),2022-03-03,Unknown,True,SpaceX,N/A
Starlink 4-10 (v1.5),2022-03-09,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-12 (v1.5),2022-03-19,Vandenberg SLC-4E,True,SpaceX,N/A
Transporter-4,2022-04-01,Vandenberg SLC-4E,True,SpaceX,N/A
Ax-1,2022-04-08,Unknown,True,SpaceX,N/A
NROL-85,2022-04-17,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-14 (v1.5),2022-04-21,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-4,2022-04-27,Unknown,True,SpaceX,N/A
Starlink 4-16 (v1.5),2022-04-29,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-17 (v1.5),2022-05-06,Unknown,True,SpaceX,N/A
Starlink 4-13 (v1.5),2022-05-13,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-15 (v1.5),2022-05-14,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-18 (v1.5),2022-05-18,Unknown,True,SpaceX,N/A
Transporter-5,2022-05-25,Vandenberg SLC-4E,True,SpaceX,N/A
Nilesat-301,2022-06-08,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-19 (v1.5),2022-06-01,Unknown,True,SpaceX,N/A
SARah 1,2022-06-18,Starbase Boca Chica,True,SpaceX,N/A
Globalstar FM15,2022-06-19,Vandenberg SLC-4E,True,SpaceX,N/A
SES-22,2022-06-29,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-21 (v1.5),2022-07-07,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 3-1 (v1.5),2022-07-11,Starbase Boca Chica,False,SpaceX,N/A
CRS-25,2022-07-15,Unknown,True,SpaceX,N/A
Starlink 4-22 (v1.5),2022-07-17,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 3-2 (v1.5),2022-07-21,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-25 (v1.5),2022-07-24,Vandenberg SLC-4E,True,SpaceX,N/A
KPLO,2022-08-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-26 (v1.5),2022-08-09,Unknown,True,SpaceX,N/A
Starlink 3-3 (v1.5),2022-08-12,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-27 (v1.5),2022-08-19,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-23 (v1.5),2022-08-28,Unknown,True,SpaceX,N/A
Starlink 3-4 (v1.5),2022-08-31,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11,Unknown,True,SpaceX,N/A
Starlink 4-34 (v1.5),2022-09-17,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-35 (v1.5),2022-09-24,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-5,2022-10-05,Unknown,True,SpaceX,N/A
USSF-44,2022-11-01,Unknown,False,SpaceX,N/A
Starlink 4-36 (v1.5),2022-10-20,Vandenberg SLC-4E,False,SpaceX,N/A
Galaxy 33 (15R) & 34 (12R),2022-10-08,Vandenberg SLC-4E,False,SpaceX,N/A
Hotbird 13F,2022-10-15,Vandenberg SLC-4E,False,SpaceX,N/A
Hotbird 13G,2022-11-03,Vandenberg SLC-4E,False,SpaceX,N/A
Galaxy 31 (23R) & 32 (17R),2022-11-08,Vandenberg SLC-4E,False,SpaceX,N/A
Eutelsat 10B,2022-11-15,Vandenberg SLC-4E,False,SpaceX,N/A
ispace Mission 1 & Rashid,2022-11-22,Vandenberg SLC-4E,False,SpaceX,N/A
CRS-26,2022-11-18,Unknown,False,SpaceX,N/A
Starlink 4-37 (v1.5),2022-11-01,Vandenberg SLC-4E,False,SpaceX,N/A
"O3b mPower 1,2",2022-11-01,Vandenberg SLC-4E,False,SpaceX,N/A
SWOT,2022-12-05,Starbase Boca Chica,False,SpaceX,N/A
SES-18 & SES-19,2022-11-01,Vandenberg SLC-4E,False,SpaceX,N/A
Transporter-6,2022-12-01,Vandenberg SLC-4E,False,SpaceX,N/A
TTL-1,2022-12-01,Starbase Boca Chica,False,SpaceX,N/A
WorldView Legion 1 & 2,2022-12-01,Vandenberg SLC-4E,False,SpaceX,N/A
Viasat-3 & Arcturus,2022-12-01,Unknown,False,SpaceX,N/A
O3b mPower 3.4,2022-12-01,Vandenberg SLC-4E,False,SpaceX,N/A
