Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
India,2000,Focused next generation approach,Unmanned,Quinnberg,Communication,17.27,90,AI Navigation,Medium,"UAE, Japan, France",229
India,2004,Expanded neutral strategy,Unmanned,South Olivia,Navigation,9.74,55,Solar Propulsion,Medium,Russia,94
India,2007,Multi-tiered systemic archive,Manned,East Travisfort,Navigation,44.84,82,Nuclear Propulsion,Low,"Russia, UK, UAE",335
India,2000,User-friendly background core,Unmanned,Sarahmouth,Weather,22.34,97,Traditional Rocket,High,"Russia, India",10
India,2021,Extended real-time hierarchy,Manned,New Maryfurt,Spy,28.43,92,AI Navigation,Medium,UAE,102
India,2018,Persevering well-modulated function,Unmanned,Perezview,Research,26.64,58,AI Navigation,Low,Russia,353
India,2023,Self-enabling demand-driven system engine,Manned,Tatestad,Spy,19.11,54,Traditional Rocket,High,"Germany, Russia",70
India,2007,Vision-oriented zero tolerance leverage,Unmanned,Royside,Communication,7.88,85,Solar Propulsion,Medium,China,249
India,2008,Fully-configurable client-server service-desk,Unmanned,Benjaminborough,Navigation,24.74,55,Traditional Rocket,Medium,"India, Germany",211
India,2000,De-engineered system-worthy throughput,Manned,Davisside,Navigation,3.27,63,Reusable Rocket,High,China,172
India,2019,Reduced empowering system engine,Unmanned,Port Dylanville,Spy,10.73,67,AI Navigation,Medium,Israel,248
India,2022,Digitized content-based Internet solution,Unmanned,East Donna,Communication,40.22,62,Reusable Rocket,Medium,"Russia, India, UAE",229
India,2007,Right-sized zero-defect emulation,Manned,Benjaminhaven,Research,8.35,86,AI Navigation,High,"Israel, China",142
India,2007,Advanced mobile installation,Manned,South John,Navigation,33.15,68,Solar Propulsion,Low,"India, USA",327
India,2001,Configurable solution-oriented product,Unmanned,North Dylan,Communication,16.46,57,Reusable Rocket,Medium,"China, Israel",296
India,2008,Polarized impactful moratorium,Manned,Nunezhaven,Spy,42.55,71,AI Navigation,Medium,Israel,141
India,2007,Innovative tertiary structure,Manned,Lake Brendanmouth,Spy,24.88,54,Nuclear Propulsion,Medium,Japan,218
India,2022,Adaptive tangible installation,Manned,North Tinaburgh,Navigation,3.81,82,Reusable Rocket,Medium,Russia,338
India,2014,Synergized user-facing emulation,Unmanned,Robertsshire,Research,3.77,84,Solar Propulsion,Medium,France,202
India,2021,Assimilated client-driven functionalities,Unmanned,South Tony,Navigation,38.15,83,Traditional Rocket,Low,"China, USA, France",45
India,2019,Digitized composite pricing structure,Unmanned,Zamorastad,Navigation,8.21,53,Nuclear Propulsion,High,"Israel, Russia",287
India,2014,Synchronized disintermediate function,Manned,Villanuevaton,Spy,45.37,65,Nuclear Propulsion,Medium,Russia,289
India,2025,Phased systemic matrices,Manned,Gregoryshire,Weather,48.51,58,Traditional Rocket,High,USA,13
India,2003,User-centric encompassing interface,Manned,Jenniferchester,Communication,5.65,95,AI Navigation,High,"Israel, China, France",227
India,2001,Customer-focused 4thgeneration projection,Unmanned,Port Charlotte,Spy,23.97,57,Solar Propulsion,High,UK,227
India,2014,Mandatory background toolset,Manned,Wellsfurt,Communication,22.92,66,Solar Propulsion,High,Germany,119
India,2004,Persistent dynamic Internet solution,Manned,South Johnborough,Weather,24.85,67,Nuclear Propulsion,High,UAE,325
India,2019,Synergistic impactful synergy,Manned,Mariahshire,Spy,19.46,100,Reusable Rocket,Low,"China, Japan",125
India,2024,Multi-lateral bifurcated complexity,Unmanned,South Richard,Navigation,49.18,75,Traditional Rocket,High,"Japan, UAE, Russia",311
India,2012,Proactive content-based matrix,Manned,Autumnfurt,Communication,22.16,81,AI Navigation,Low,India,351
India,2022,Balanced dynamic implementation,Manned,Stephenport,Research,11.57,82,Reusable Rocket,Medium,"France, China",155
India,2016,Operative actuating process improvement,Unmanned,Jenniferside,Spy,11.79,78,Reusable Rocket,Medium,Israel,206
India,2017,Visionary grid-enabled task-force,Manned,Amyton,Weather,20.76,53,Solar Propulsion,High,"Russia, USA, France",165
India,2020,Synchronized dedicated contingency,Manned,New Cindy,Communication,15.12,72,Traditional Rocket,Low,"Japan, China",358
India,2007,Organic high-level hardware,Unmanned,Allisonburgh,Communication,41.97,78,AI Navigation,Low,Germany,121
India,2001,Switchable solution-oriented Internet solution,Unmanned,Skinnerburgh,Research,14.12,67,Traditional Rocket,Low,France,42
India,2022,Cross-platform homogeneous info-mediaries,Unmanned,West Josephmouth,Navigation,20.56,66,Traditional Rocket,High,China,307
India,2005,Operative value-added budgetary management,Unmanned,Smithfurt,Research,48.07,64,Nuclear Propulsion,Medium,UAE,228
India,2008,Intuitive human-resource Local Area Network,Unmanned,Sanchezmouth,Communication,26.36,83,Solar Propulsion,Medium,"India, France",187
India,2023,Business-focused eco-centric groupware,Manned,Carpenterside,Navigation,44.59,79,Reusable Rocket,Medium,"Japan, Germany, Israel",329
India,2001,Open-architected systemic solution,Unmanned,Wagnerton,Research,0.7,93,AI Navigation,Medium,Israel,108
India,2009,Mandatory user-facing knowledgebase,Unmanned,Lukeview,Research,36.11,70,Nuclear Propulsion,Low,"China, UK, India",108
India,2004,Team-oriented radical projection,Manned,Millerview,Communication,12.47,99,Reusable Rocket,High,"China, Japan, UAE",355
India,2010,Enterprise-wide hybrid budgetary management,Manned,Joannaland,Spy,46.57,76,Solar Propulsion,High,"Russia, UK, Japan",312
India,2006,Customizable regional support,Unmanned,New Michaelhaven,Weather,17.24,77,Traditional Rocket,Low,"Israel, USA",184
India,2008,Phased clear-thinking firmware,Manned,Port Troyville,Weather,47.33,63,Traditional Rocket,Low,Germany,42
India,2005,Focused needs-based algorithm,Manned,Nguyenfurt,Navigation,14.42,63,Solar Propulsion,Low,"Japan, UK, Russia",79
India,2008,Horizontal even-keeled orchestration,Manned,Veronicafort,Spy,49.83,67,Solar Propulsion,Medium,India,137
India,2019,Compatible explicit product,Manned,Lake Robin,Communication,24.06,66,Solar Propulsion,High,India,38
India,2004,Team-oriented didactic Internet solution,Unmanned,Swansonchester,Communication,39.58,92,Solar Propulsion,Low,"Japan, Israel",102
India,2011,Profit-focused homogeneous adapter,Unmanned,East Alisonland,Spy,45.46,86,Traditional Rocket,High,"India, France",299
India,2015,Grass-roots intermediate Graphic Interface,Unmanned,Jonesmouth,Navigation,20.69,76,Traditional Rocket,High,"UK, China, Israel",210
India,2024,Versatile bi-directional contingency,Manned,South Daveport,Communication,33.81,81,Traditional Rocket,Low,UAE,101
India,2013,Enterprise-wide multi-tasking process improvement,Manned,Jenniferview,Spy,25.88,56,AI Navigation,Low,"Japan, UAE, China",27
India,2009,Re-contextualized asymmetric solution,Manned,East Adriennebury,Spy,2.37,56,AI Navigation,High,"Japan, France, Russia",161
India,2024,Reduced multimedia complexity,Unmanned,Mataton,Weather,2.11,54,AI Navigation,Low,"Israel, Germany, UK",15
India,2015,Cross-platform client-server frame,Unmanned,Burkemouth,Research,22.97,54,Reusable Rocket,Medium,India,343
India,2014,Organized responsive project,Unmanned,Bellville,Communication,18.97,93,AI Navigation,Medium,"Russia, China",70
India,2000,Public-key leadingedge artificial intelligence,Manned,Lake Gail,Weather,28.95,86,Nuclear Propulsion,High,"UK, France",205
India,2005,Implemented content-based success,Unmanned,Barnestown,Communication,7.66,81,Solar Propulsion,High,"Japan, India, France",29
India,2019,Assimilated tertiary adapter,Unmanned,Port Carlos,Research,43.23,76,Traditional Rocket,High,"Japan, China",252
India,2015,Versatile didactic budgetary management,Manned,North Collinfurt,Spy,28.65,73,Reusable Rocket,Low,"Germany, India",270
India,2000,Compatible optimal workforce,Unmanned,Derrickview,Communication,33.68,69,Reusable Rocket,Medium,Russia,64
India,2007,Compatible 6thgeneration implementation,Unmanned,Matthewshire,Research,42.97,75,Solar Propulsion,Medium,"Germany, UAE",221
India,2018,User-centric executive time-frame,Manned,Martinezbury,Navigation,45.29,59,Reusable Rocket,High,Japan,188
India,2009,Re-contextualized systemic secured line,Manned,Lake Victorside,Research,26.58,100,AI Navigation,Medium,"UAE, USA, India",17
India,2020,Face-to-face even-keeled matrix,Unmanned,Bellhaven,Weather,14.58,83,Reusable Rocket,Low,"Japan, Russia, France",3
